"Temperature (C)","Pression (mBar)","Altitude (m)","Latitude","Longitude","Altitude","Time"
"25.54","977.34003","316.49814",0,0,0,"14:36:36"
"25.54","977.35999","316.31799","undefined","undefined","undefined","14:36:39"
