"Temperature (C)","Pression (mBar)","Altitude (m)","Time"
"22","993","173","9:54:46"
"22","993","170","9:54:47"
"141520","456804","-14992732","9:54:47"
"23","993","170","9:54:48"
"22","993","167","9:54:48"
"23","998","128","9:54:49"
"22","998","126","9:54:49"
"22","998","126","9:54:50"
"21","998","126","9:54:50"
"21","998","126","9:54:51"
"21","998","126","9:54:51"
"21","998","125","9:54:52"
"21","998","125","9:54:52"
"21","998","126","9:54:53"
"21","998","126","9:54:53"
"21","998","125","9:54:54"
"20","998","125","9:54:54"
"20","998","126","9:54:55"
"20","998","125","9:54:55"
"20","998","125","9:54:56"
"20","998","125","9:54:57"
"20","998","126","9:54:57"
"20","998","125","9:54:58"
"20","998","125","9:54:58"
"20","998","125","9:54:59"
"20","998","126","9:54:59"
"20","998","125","9:55:0"
"20","998","125","9:55:0"
"20","998","126","9:55:1"
"20","998","125","9:55:1"
"20","998","125","9:55:2"
"20","998","125","9:55:2"
"20","998","125","9:55:3"
"20","998","125","9:55:3"
"20","998","125","9:55:4"
"20","998","125","9:55:4"
"20","998","125","9:55:5"
"20","998","125","9:55:5"
"20","998","125","9:55:6"
"20","998","125","9:55:6"
"20","998","125","9:55:7"
"20","998","125","9:55:8"
"20","998","125","9:55:8"
"20","998","125","9:55:9"
"20","998","125","9:55:9"
"20","998","125","9:55:10"
"20","998","125","9:55:10"
"20","998","125","9:55:11"
"20","998","125","9:55:11"
"20","998","125","9:55:12"
"20","998","125","9:55:12"
"20","998","125","9:55:13"
"20","998","125","9:55:13"
"20","998","125","9:55:14"
"20","998","125","9:55:14"
"20","998","125","9:55:15"
"20","998","125","9:55:15"
"20","998","125","9:55:16"
"20","998","125","9:55:16"
"20","998","125","9:55:17"
"20","998","125","9:55:17"
"20","998","125","9:55:18"
"20","998","125","9:55:18"
"20","998","125","9:55:19"
"20","998","125","9:55:20"
"20","998","125","9:55:20"
"20","998","125","9:55:21"
"20","998","125","9:55:21"
"20","998","125","9:55:22"
"20","998","125","9:55:22"
"20","998","125","9:55:23"
"20","998","125","9:55:23"
"20","998","125","9:55:24"
"20","998","125","9:55:24"
"20","998","125","9:55:25"
"20","998","125","9:55:25"
"20","998","125","9:55:26"
"20","998","125","9:55:26"
"20","998","125","9:55:27"
"20","998","125","9:55:27"
"20","998","125","9:55:28"
"20","998","125","9:55:28"
"20","998","125","9:55:29"
"20","998","125","9:55:29"
"20","998","125","9:55:30"
"20","998","125","9:55:31"
"20","998","125","9:55:31"
"20","998","125","9:55:32"
"20","998","125","9:55:32"
"20","998","125","9:55:33"
"20","998","125","9:55:33"
"20","998","125","9:55:34"
"20","998","125","9:55:34"
"20","998","125","9:55:35"
"20","998","125","9:55:35"
"20","998","125","9:55:36"
"20","998","125","9:55:36"
"20","998","125","9:55:37"
"20","998","125","9:55:37"
"20","998","125","9:55:38"
"20","998","125","9:55:38"
"20","998","125","9:55:39"
"20","998","125","9:55:39"
"20","998","125","9:55:40"
"20","998","125","9:55:40"
"20","998","125","9:55:41"
"20","998","125","9:55:42"
"20","998","125","9:55:42"
"20","998","125","9:55:43"
"20","998","125","9:55:43"
"20","998","125","9:55:44"
"20","998","125","9:55:44"
"20","998","125","9:55:45"
"20","998","125","9:55:45"
"20","998","125","9:55:46"
"20","998","125","9:55:46"
"20","998","125","9:55:47"
"20","998","125","9:55:47"
"20","998","125","9:55:48"
"20","998","125","9:55:48"
"20","998","125","9:55:49"
"20","998","125","9:55:49"
"20","998","125","9:55:50"
"20","998","125","9:55:50"
"20","998","125","9:55:51"
"20","998","125","9:55:51"
"20","998","125","9:55:52"
"20","998","125","9:55:52"
"20","998","125","9:55:53"
"20","998","125","9:55:54"
"20","998","125","9:55:54"
"20","998","125","9:55:55"
"20","998","125","9:55:55"
"20","998","125","9:55:56"
"20","998","125","9:55:56"
"20","998","125","9:55:57"
"20","998","125","9:55:57"
"20","998","125","9:55:58"
"20","998","125","9:55:58"
"20","998","125","9:55:59"
"20","998","125","9:55:59"
"20","998","125","9:56:0"
"20","998","125","9:56:0"
"20","998","125","9:56:1"
"20","998","125","9:56:1"
"20","998","125","9:56:2"
"20","998","125","9:56:2"
"20","998","125","9:56:3"
"20","998","125","9:56:3"
"20","998","125","9:56:4"
"20","998","125","9:56:5"
"20","998","125","9:56:5"
"20","998","125","9:56:6"
"20","998","125","9:56:6"
"20","998","125","9:56:7"
"20","998","125","9:56:7"
"20","998","125","9:56:8"
"20","998","125","9:56:8"
"20","998","125","9:56:9"
"20","998","125","9:56:9"
"20","998","125","9:56:10"
"20","998","125","9:56:10"
"20","998","125","9:56:11"
"20","998","125","9:56:11"
"20","998","125","9:56:12"
"20","998","125","9:56:12"
"20","998","125","9:56:13"
"20","998","125","9:56:13"
"20","998","125","9:56:14"
"20","998","125","9:56:14"
"20","998","125","9:56:15"
"20","998","125","9:56:15"
"20","998","125","9:56:16"
"20","998","125","9:56:17"
"20","998","125","9:56:17"
"20","998","125","9:56:18"
"20","998","125","9:56:18"
"20","998","125","9:56:19"
"20","998","125","9:56:19"
"20","998","125","9:56:20"
"20","998","125","9:56:20"
"20","998","125","9:56:21"
"20","998","125","9:56:21"
"20","998","125","9:56:22"
"20","998","125","9:56:22"
"20","998","125","9:56:23"
"20","998","125","9:56:23"
"20","998","125","9:56:24"
"20","998","125","9:56:24"
"20","998","125","9:56:25"
"20","998","125","9:56:25"
"20","998","125","9:56:26"
"20","998","125","9:56:26"
"20","998","125","9:56:27"
"20","998","125","9:56:28"
"20","998","125","9:56:28"
"20","998","125","9:56:29"
"20","998","125","9:56:29"
"20","998","125","9:56:30"
"20","998","125","9:56:30"
"20","998","125","9:56:31"
"20","998","125","9:56:31"
"20","998","125","9:56:32"
"20","998","125","9:56:32"
"20","998","125","9:56:33"
"20","998","125","9:56:33"
"20","998","125","9:56:34"
"20","998","125","9:56:34"
"20","998","125","9:56:35"
"20","998","125","9:56:35"
"20","998","125","9:56:36"
"20","998","125","9:56:36"
"20","998","125","9:56:37"
"20","998","125","9:56:37"
"20","998","125","9:56:38"
"20","998","125","9:56:38"
"20","998","125","9:56:39"
"20","998","125","9:56:40"
"20","998","125","9:56:40"
"20","998","125","9:56:41"
"20","998","125","9:56:41"
"20","998","125","9:56:42"
"20","998","125","9:56:42"
"20","998","125","9:56:43"
"20","998","125","9:56:43"
"20","998","125","9:56:44"
"20","998","125","9:56:44"
"20","998","125","9:56:45"
"20","998","125","9:56:45"
"20","998","125","9:56:46"
"20","998","125","9:56:46"
"20","998","125","9:56:47"
"20","998","125","9:56:47"
"20","998","125","9:56:48"
"20","998","125","9:56:48"
"20","998","125","9:56:49"
