"Temperature (C)","Pression (mBar)","Altitude (m)","Time"
"141256","337562","-14561527","17:10:39"
"25","987","226","17:10:39"
"25","987","229","17:10:39"
"25","987","226","17:10:40"
"25","987","226","17:10:41"
"25","1075325","-33791","17:10:41"
"26","987","227","17:10:42"
"26","987","228","17:10:42"
"26","987","226","17:10:43"
"141256","336943","-14559009","17:10:43"
"26","987","227","17:10:44"
"26","987","229","17:10:44"
"26","987","226","17:10:45"
"26","987","226","17:10:45"
"26","1076722","-33861","17:10:46"
"26","987","227","17:10:46"
"26","987","228","17:10:47"
"26","987","226","17:10:47"
"141256","336590","-14557569","17:10:48"
"141256","336522","-14557290","17:10:48"
"26","987","229","17:10:49"
"26","987","227","17:10:49"
"26","987","227","17:10:50"
"26","1077716","-33910","17:10:50"
"27","987","227","17:10:51"
"27","987","228","17:10:51"
"27","987","226","17:10:52"
"141256","336325","-14556488","17:10:53"
"141256","336257","-14556211","17:10:53"
"27","987","227","17:10:54"
"27","987","228","17:10:54"
"27","987","227","17:10:55"
"27","1078543","-33952","17:10:55"
"141518","451420","-14977092","17:10:56"
"27","987","228","17:10:56"
"27","987","228","17:10:57"
"27","987","226","17:10:57"
"141256","336065","-14555425","17:10:58"
"27","987","227","17:10:58"
"27","987","229","17:10:59"
"27","987","227","17:10:59"
"27","1079236","-33986","17:11:0"
"27","1079320","-33991","17:11:0"
"27","987","227","17:11:1"
"27","987","227","17:11:1"
