"Temperature (C)","Pression (mBar)","Altitude (m)","Latitude","Longitude","Altitude","Time"
"24.48","976.84003","319.86252",43.496908,5.342413,142,"13:11:32"
"24.49","976.81","320.14343",43.497108,5.342413,142,"13:11:35"
"24.5","976.83002","319.97476",43.496908,5.342413,142,"13:11:38"
"24.51","976.84998","319.80606",43.496908,5.342413,142,"13:11:41"
