"Temperature (C)","Humidity (H)"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","19"
"22","38"
"23","64"
"23","62"
"23","63"
"22","63"
