"Temperature (C)","Pression (mBar)","Altitude (m)","Latitude","Longitude","Altitude","Time"
"26.24","983.63","260.67984","undefined","undefined","undefined","17:14:0"
"26.25","983.60999","260.86801","undefined","undefined","undefined","17:14:3"
"26.25","983.62","260.77826","undefined","undefined","undefined","17:14:6"
"26.25","983.57001","261.22592","undefined","undefined","undefined","17:14:9"
"26.25","983.58002","261.13617","undefined","undefined","undefined","17:14:12"
"26.25","983.59998","260.95673","undefined","undefined","undefined","17:14:15"
